,empty_slots,free_bikes,id,latitude,longitude,name
79,25,1,f07d83b19d7555633ed07b8705e1439c,45.53280412806031,-73.57190161943436,Cartier / Marie-Anne
80,8,27,8569736c023d7713fa1054b1dc71a704,45.53255611409675,-73.58993947505951,St-Grégoire / Christophe-Colomb
81,7,11,9af471a77a41e1bdde69ab0533d721ec,45.554582815249745,-73.59631910920143,6e Avenue / Bélanger
82,14,4,1e35b33de4e369aeedcdd6de0f62c2cb,45.52164617544124,-73.59366774559021,St-Urbain / Laurier
83,16,3,c7c82cf193fdc50ec1a106c90cb51544,45.54434593245247,-73.57697686180472,Masson / Molson
84,11,16,531dfca0ea4152da1c5e60b7fa74ba1c,45.541602844435374,-73.56496073305605,Molson / Wiliam-Tremblay
85,18,5,cf46557eb890581a5631cafc7b9a2bba,45.521564270906616,-73.57036739587784,Roy / St-André
86,8,15,4249917b3ff262f4cd831f8ea34cf74e,45.4912258547597,-73.58763009309769,Atwater / Sherbrooke
87,14,5,7b28024fd4c90ded38fc0447771d1ca4,45.49658063218649,-73.5762146115303,Ste-Catherine / Bishop
88,7,4,7c116c44d814279d54202eeec81ddddb,45.49487159597493,-73.57112377882004,Métro Lucien-L'Allier  (Lucien l'Allier / Argyle)
89,14,9,f05dc5b7b3635787d9fe3fd8565bee7a,45.49228068089086,-73.58096480369566,Ste-Catherine / Towers
90,27,7,3e138c9acff07bff5f9e684c01bc564f,45.50531166520915,-73.56089115142822,Viger / Chenneville
91,31,16,fb9e4ff1597cd9c7cec37a51d5f2bf2c,45.56221872617909,-73.54626774787903,Métro Viau ( Pierre-de-Coubertin / Viau)
92,29,8,420d9c027c261cae251568f7f8d5a9cc,45.49790394592446,-73.57077571808077,Stanley / René-Lévesque
93,32,5,014e10dba2d92bd20c826b88864dc6b6,45.505173440423306,-73.5706517100334,de Maisonneuve / Aylmer (ouest)
94,6,15,8ae106c7b71f9c4a8f753c79cbe1603f,45.50538591756765,-73.5704317688942,de Maisonneuve / Aylmer (est)
95,6,9,12d398be5955fed8787b107d04ba8cab,45.51401222645779,-73.56598667800426,CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville)
96,19,10,353cde491172cf1f6f0e038c29f9ca2b,45.54699194653282,-73.55115339159964,Métro Joliette  (Hochelaga / Joliette)
97,19,4,f7b1f88c4f4e3231537dd0a5a7397287,45.4912954250061,-73.56159925460815,Ottawa / du Séminaire
98,41,5,b7ea33e5396a99849c76067836da7f21,45.51487490356938,-73.58486406505108,Parc Jeanne-Mance (monument sir George-Étienne-Cartier)
99,8,11,475d62511878b5d637d016d15cf41bd2,45.51059890498207,-73.56692545115948,Clark / Ontario
100,16,7,2eea55e025c4f7318cefd7a712b3ae61,45.472636238971525,-73.58546018600464,Ste-Émilie / Sir-Georges-Etienne-Cartier
101,5,10,c0bf44a23aa9fdfd893bd437866dbf2a,45.4801160762769,-73.58560770750046,Parc St-Henri (Laporte / Guay)
102,10,9,508a89286045d9bc7e8188522a328f63,45.502386079583346,-73.57333794236183,de Maisonneuve / Mansfield (nord)
103,9,16,24d6cf55dd9c36caa1aac57ea06d80d7,45.502053864057466,-73.57346534729004,de Maisonneuve / Mansfield (sud)
104,8,13,d1c5df1e255b5babc511fd7d2cf91997,45.512903912221326,-73.57059180741999,Milton / St-Laurent
105,3,42,4dfba1c78f4c98769c58749cb8f10472,45.50277615861811,-73.57589408755302,McTavish / Sherbrooke
106,6,15,21a2faa2030e136896fc22dcbb613e52,45.50710632433956,-73.56861054897308,de Bleury / de Maisonneuve
107,8,11,4aead5b6002007d40c34c9a53ffecbdf,45.498488900657,-73.57436656951904,Ste-Catherine / Drummond
108,9,13,326615f796f68a086a7460d4f41ae806,45.492913379064625,-73.5646878182888,de la Montagne / Notre-Dame
109,50,8,a8dca6a7c9f8451b38af2eee446736df,45.5063713381299,-73.5642009973526,Jeanne-Mance / René-Lévesque
110,17,10,cb1d736547a9e93d8e3427b1f232a0f9,45.501187681489775,-73.57045487814501,Cathcart / McGill College
111,22,5,dfaab1117322af6f88c48893144bcf6f,45.467665653865964,-73.59391784324544,de la Côte St-Paul / St-Ambroise
112,3,22,5959ac4ba669c272f3185bf7fd8e00e2,45.53102667048665,-73.59862312674522,Marmier / St-Denis
113,12,9,e1d27e3bb1414d200aac4dbc156450d7,45.551961779348346,-73.6303174495697,Jacques-Casault / Christophe-Colomb
114,16,11,955f8b917ca4548746c2189a36b96fb2,45.53857953787113,-73.58848571777344,des Carrières / Marquette
115,16,3,146f0e546200699ab1d0826275fdc62d,45.53579541676834,-73.55795860291892,du Havre / Hochelaga
116,17,4,f471a9e472702090ef7caeabb40661f1,45.525710872858475,-73.58128398656845,St-Hubert / du Mont-Royal
117,15,0,f0aeadde961c7d845b9a1b6aeab78eb8,45.54144823434163,-73.59839379787445,Garnier / Beaubien
118,13,4,63c25a074954b752156b8c981b4e1f99,45.52797141659334,-73.54948371648788,de Maisonneuve / Fullum
119,3,12,7eaaf829040807e1e2c7091f2866f62e,45.56157008176612,-73.65338176488876,Hamel / Sauriol
120,8,11,796a9f355c39aaf2fcedeae95260306f,45.546128338386644,-73.64650368695946,Parc Henri-Julien (Legendre/Henri-Julien)
121,13,6,49a34fd07d2a10bef806a1abcc921a87,45.56001959585449,-73.534934520776,Ontario / Ville-Marie
122,8,11,488b08ff450837d27743c7bcd6c8a058,45.49996470926352,-73.55615437030792,Place d'Youville / McGill
123,4,6,286671379fa925e68543ac801281068b,45.529996997063385,-73.63287091255188,Ball / Bloomfield
124,13,2,aa4100b71e77eb483a5d173547e56ab6,45.548513207676116,-73.62365484237671,Parc Villeray (Christophe-Colomb / Jarry)
125,15,0,3cc8af25d891cb13e3301e4a612d0383,45.50714391928411,-73.55511903762817,Notre-Dame / St-Gabriel
126,20,3,b9d14281ceeaf9913a820adab2e125c6,45.51613214980722,-73.56049686670303,St-Hubert / de Maisonneuve (nord)
127,5,6,c4598b4528634ccf6c386e56c7c1ecf2,45.50114344835097,-73.56077313423157,St-Jacques / McGill
128,21,2,1469c136bd5b7cecb99703bfdeaeda8b,45.49837045828952,-73.56055587530136,Robert-Bourassa / St-Maurice
129,18,5,b9a4abde81beb417902b503d331ffe49,45.502939709023714,-73.56064036488532,St-Antoine / Jean-Paul Riopelle
130,9,10,76fdf335f45f4dc6aa762acab6a94e41,45.55358456339093,-73.6383855342865,Complexe sportif Claude-Robillard (Émile-Journault)
131,17,5,0fb6edd4392d44d0f5bf0073329bb100,45.54718706660108,-73.6184298992157,Villeray / de Normanville
132,12,3,ac93999c9a8a448cf9db2701716fa637,45.49969963056761,-73.57193648815155,du Square Dorchester / Peel
133,19,5,cfc09f1f86e151cf8778b662a3d3650b,45.55331992800521,-73.56932803988457,15e avenue / Laurier
134,43,8,3f155bd80f721e2f372821f3a7b08512,45.51086,-73.54983,de la Commune / Berri
135,37,6,d5193bc68b01855a79fd8c694ef2e2f9,45.50424245563397,-73.553469479084,de la Commune / St-Sulpice
136,6,9,5628b95a789420240f43c4f870c685de,45.557568,-73.579191,CHSLD Robert Cliche (de Bellechasse / 16e avenue)
137,15,8,ff85c138d884da9a4540f32b12086338,45.489185716082275,-73.57190027832984,St-Jacques / des Seigneurs
