,bar_id,bar_name,station_id,popularity,rating,price,review_count,total_counts,empty_slots,free_bikes,latitude,longitude,name
39,56159b81498e692deb443cb9,Pub West Shefford,0e58810dea9e4869279089cb8576642f,0.9640326275450128,8.1,2.0,169.0,8.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
40,4ad4c06bf964a52090f920e3,Bily Kun,0e58810dea9e4869279089cb8576642f,0.956589379634189,8.0,2.0,68.0,13.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
41,4ae3d573f964a5203e9921e3,La Distillerie No2,0e58810dea9e4869279089cb8576642f,0.968492867184768,8.3,2.0,40.0,7.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
42,541260c1498eaf769b43d38c,Fitzroy,0e58810dea9e4869279089cb8576642f,0.975493659323328,6.0,2.0,46.0,8.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
43,4ad4c06bf964a52060f920e3,Bar Plan B,0e58810dea9e4869279089cb8576642f,0.9550265116644188,7.0,2.0,35.0,7.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
44,4cd1f545de0f6dcbe6617463,A Bar,0e58810dea9e4869279089cb8576642f,0.9262882956175468,7.7,2.0,190.0,2.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
45,4ae294f6f964a5201e8f21e3,Cafe-Bar le Boudoir,0e58810dea9e4869279089cb8576642f,0.9252606564045474,7.4,1.0,20.0,4.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
46,5560d3e3498eb97d20dc071a,Le Terminal,0e58810dea9e4869279089cb8576642f,0.9725748785030722,7.5,2.0,52.0,6.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
47,4ae3b893f964a520749821e3,Aux Verres Stérilisés Inc,0e58810dea9e4869279089cb8576642f,0.9487893125521848,6.8,2.0,147.0,1.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
48,XKyFYsRIkd0Tmef9fT_84w,Candi Bar,0e58810dea9e4869279089cb8576642f,0.980401106065926,7.0,2.0,60.0,11.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
49,PxJXsLv6cad2YJAwj_LfAw,Le Rouge Gorge,0e58810dea9e4869279089cb8576642f,0.6178820950840411,9.0,2.0,33.0,10.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
50,G7LYpILnHveyvbg3sJePPw,L’Entrepôt - Mont-Royal,0e58810dea9e4869279089cb8576642f,0.6405845390992355,8.0,1.0,138.0,10.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
51,jfYlk4SmJyyOi9zU5rrNdw,L'Escogriffe Bar Spectacle,0e58810dea9e4869279089cb8576642f,0.2876687593705797,9.0,1.0,18.0,16.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
52,BQZ-KkZilWvOGG8-kGzsfw,L'Barouf,0e58810dea9e4869279089cb8576642f,0.5305300825904612,7.0,2.0,32.0,11.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
53,CEsh0ScOKlL3mpvjypqszA,Ichigo Ichie,0e58810dea9e4869279089cb8576642f,0.3601228045498349,9.0,2.0,117.0,12.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
54,05ODI64RZUWNLu84PerxLw,Bar la Shop,0e58810dea9e4869279089cb8576642f,0.9285177659576354,8.0,1.0,8.0,7.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
55,mqSQ88UysxPX5hV7y2-MTA,Big In Japan,0e58810dea9e4869279089cb8576642f,0.2655869999063003,7.0,2.0,258.0,12.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
56,MaZ7AhdfZiyJGcfbX_3JTQ,Le A Bar,0e58810dea9e4869279089cb8576642f,0.5585012092922808,9.0,2.0,15.0,12.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
57,jPE7EGhcFyVor-rzbppDgw,Barraca,0e58810dea9e4869279089cb8576642f,0.7574496823701331,7.0,2.0,63.0,7.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
58,cTm9pJXTYCfA4RtQ2dnwdA,West Shefford,0e58810dea9e4869279089cb8576642f,0.9635026831493466,7.0,1.0,7.0,7.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
59,GIf1tyweFeS_5hrzMaNkfg,La Distillerie No.2,0e58810dea9e4869279089cb8576642f,0.3184119510134133,9.0,2.0,71.0,8.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
60,rx3da3AnlsTGstA4Vc5F-g,Chez Baptiste,0e58810dea9e4869279089cb8576642f,0.3510652955480793,7.0,1.0,19.0,11.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
61,YmAbgAGupY68YrHCsv2-EQ,La Rockette,0e58810dea9e4869279089cb8576642f,0.8361971112089961,6.0,1.0,16.0,6.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
62,oiiTuyoAALAeNhOV6T-i5w,Plein Sud,0e58810dea9e4869279089cb8576642f,0.0363629260892608,9.0,2.0,58.0,8.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
63,51057014e4b05ec8610cb068,132 Bar Vintage,eeda0f4010f34ca2199f3585a76fef66,0.935308684264988,8.3,3.0,109.0,3.0,9,6,45.5534000891078,-73.66225451231003,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury)
64,50a66e27e4b052420c9534a3,Les Cavistes,eeda0f4010f34ca2199f3585a76fef66,0.9494744053608511,8.0,2.0,13.0,3.0,9,6,45.5534000891078,-73.66225451231003,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury)
65,4bd384809854d13a220afe4d,Uber Cafbar,eeda0f4010f34ca2199f3585a76fef66,0.954748192710898,7.5,2.0,9.0,4.0,9,6,45.5534000891078,-73.66225451231003,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury)
66,a235d106f4c5408473d1dca0,In Vino Veritas,eeda0f4010f34ca2199f3585a76fef66,0.3041669342810451,8.2,2.0,100.0,3.0,9,6,45.5534000891078,-73.66225451231003,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury)
67,4d0c25fa801054816a001796,Bienvenu Bar Salon,eeda0f4010f34ca2199f3585a76fef66,0.937228371405939,8.2,2.0,135.0,4.0,9,6,45.5534000891078,-73.66225451231003,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury)
68,4dcf65d3183899ddfaec7935,Bar Lajeunesse,eeda0f4010f34ca2199f3585a76fef66,0.5046993084844462,8.2,2.0,145.0,2.0,9,6,45.5534000891078,-73.66225451231003,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury)
69,4d0c5208d515236a09cd064b,Bar Ahuntsic,eeda0f4010f34ca2199f3585a76fef66,0.9933060723486552,8.2,2.0,127.0,3.0,9,6,45.5534000891078,-73.66225451231003,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury)
70,4b7eb7b0f964a520eafa2fe3,Le Rendez Vous du Thé,eeda0f4010f34ca2199f3585a76fef66,0.9319260385221976,8.2,2.0,5.0,3.0,9,6,45.5534000891078,-73.66225451231003,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury)
71,5a0e4f8c8194fc76a7737397,Le Pourvoyeur,eeda0f4010f34ca2199f3585a76fef66,0.9605215269005972,8.2,3.0,181.0,7.0,9,6,45.5534000891078,-73.66225451231003,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury)
72,ae4819eb18ca4e495deeb86a,Lanny Izakaya,eeda0f4010f34ca2199f3585a76fef66,0.8996190724673447,8.2,2.0,87.0,4.0,9,6,45.5534000891078,-73.66225451231003,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury)
73,D92KzSJGnwXCMeQsR4kBAQ,Bar Vintage 132,eeda0f4010f34ca2199f3585a76fef66,0.0034799969430699,9.0,2.0,8.0,5.0,9,6,45.5534000891078,-73.66225451231003,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury)
74,z5I_mpQSd6Xq1losyHtA1A,Über Cafbar,eeda0f4010f34ca2199f3585a76fef66,0.3767738849379272,9.0,2.0,6.0,4.0,9,6,45.5534000891078,-73.66225451231003,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury)
75,tZEIJrzwEQam4A2WZ-kf0Q,Sacre Fut,eeda0f4010f34ca2199f3585a76fef66,0.2631662141587076,8.0,2.0,1.0,3.0,9,6,45.5534000891078,-73.66225451231003,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury)
76,tnLMp4jhjO4hytdPX0gl5A,Resto Bar Coin Du Metro,eeda0f4010f34ca2199f3585a76fef66,0.8162339753270541,6.0,2.0,4.0,3.0,9,6,45.5534000891078,-73.66225451231003,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury)
77,QJyFT9MJ-34LZhkB1nMOsg,Le Petit Flore,eeda0f4010f34ca2199f3585a76fef66,0.7233479136237444,8.0,2.0,10.0,4.0,9,6,45.5534000891078,-73.66225451231003,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury)
78,5606f3e59a184b4d75b78b9a,Resto-Bar Lucky 7,8140fc3c3486abf913b0bd9211926f2b,0.6085265509145276,8.2,2.0,53.0,6.0,15,19,45.55984236120471,-73.61544728279114,Cité des Arts du Cirque (Paul Boutet / des Regrattiers)
79,48d57f4a1808476d9b42c59d,Brasserie Place 37,8140fc3c3486abf913b0bd9211926f2b,0.8063542358003811,8.2,2.0,66.0,2.0,15,19,45.55984236120471,-73.61544728279114,Cité des Arts du Cirque (Paul Boutet / des Regrattiers)
80,2069e40c3f484191f0149871,Perandello Sport Bar,8140fc3c3486abf913b0bd9211926f2b,0.3135084601825487,8.2,2.0,150.0,2.0,15,19,45.55984236120471,-73.61544728279114,Cité des Arts du Cirque (Paul Boutet / des Regrattiers)
81,34c15ba7ec3c4fa2619b1274,Brasserie Chez le Pere Gedeon,8140fc3c3486abf913b0bd9211926f2b,0.8996190724673447,8.2,2.0,26.0,6.0,15,19,45.55984236120471,-73.61544728279114,Cité des Arts du Cirque (Paul Boutet / des Regrattiers)
82,whUznyO5yPSMdmU_kW2OOQ,La Zone,8140fc3c3486abf913b0bd9211926f2b,0.5796002542811144,2.0,1.0,2.0,6.0,15,19,45.55984236120471,-73.61544728279114,Cité des Arts du Cirque (Paul Boutet / des Regrattiers)
83,xxs6Jni9Fcq7Dw9YArR3ew,Caffè Roma,8140fc3c3486abf913b0bd9211926f2b,0.4730969302839457,10.0,1.0,3.0,7.0,15,19,45.55984236120471,-73.61544728279114,Cité des Arts du Cirque (Paul Boutet / des Regrattiers)
84,4af8a196f964a520d30e22e3,Chez Baptiste Sur Masson,e287c24d95d9f0e3767d167d83ecebcd,0.9611780741755692,7.0,2.0,186.0,3.0,9,9,45.5457759528664,-73.56217458844185,Omer-Lavallée / du Midway
85,4de0837ec65bcc724f423d55,Morelli,e287c24d95d9f0e3767d167d83ecebcd,0.1116772641960507,8.2,2.0,85.0,7.0,9,9,45.5457759528664,-73.56217458844185,Omer-Lavallée / du Midway
86,b60737e7cfeb43165b412c9a,Taverne Morelli,e287c24d95d9f0e3767d167d83ecebcd,0.8996190724673447,8.2,2.0,89.0,4.0,9,9,45.5457759528664,-73.56217458844185,Omer-Lavallée / du Midway
87,X2bUZ2udFByvLlKs0FUMYw,Boswell,e287c24d95d9f0e3767d167d83ecebcd,0.5146704939080623,9.0,2.0,46.0,8.0,9,9,45.5457759528664,-73.56217458844185,Omer-Lavallée / du Midway
88,Akhq4AKxKRDPa6BHpiSEVQ,Pot Masson,e287c24d95d9f0e3767d167d83ecebcd,0.7994593704021972,7.0,1.0,47.0,6.0,9,9,45.5457759528664,-73.56217458844185,Omer-Lavallée / du Midway
89,qDM1IuspbAvT5XoJb3Zf8g,Baron Samedi,e287c24d95d9f0e3767d167d83ecebcd,0.3661043929181092,6.0,2.0,10.0,6.0,9,9,45.5457759528664,-73.56217458844185,Omer-Lavallée / du Midway
90,57aca538498efa5e389d018a,Cherry Bar Inc,bfc27d829d7ce8c0f9e55b1cab901cbb,0.9025526843506247,8.2,2.0,95.0,4.0,9,6,45.5616903,-73.610512,CHSLD St-Michel (8e avenue / Jarry)
91,0676e51e2d2f425b5977cdac,Action Production a N J,bfc27d829d7ce8c0f9e55b1cab901cbb,0.8996190724673447,8.2,2.0,125.0,2.0,9,6,45.5616903,-73.610512,CHSLD St-Michel (8e avenue / Jarry)
92,fAoGXXZLuktaim6drXwRpg,Au P'tit Buck,bfc27d829d7ce8c0f9e55b1cab901cbb,0.0055933754960841,8.0,1.0,2.0,8.0,9,6,45.5616903,-73.610512,CHSLD St-Michel (8e avenue / Jarry)
93,61fbec86eea3a30441af3db2,Vin Prendre Une Bière,1ff33fd73e2add3c30fcd821850dccd3,0.6761509202366425,8.2,2.0,115.0,2.0,21,9,45.53830765459552,-73.6548838019371,Chabanel / du Parc
94,4ce5d01eb9975481ecb9ec44,Resto Bar Trophys,1ff33fd73e2add3c30fcd821850dccd3,0.978269712475112,8.2,2.0,76.0,2.0,21,9,45.53830765459552,-73.6548838019371,Chabanel / du Parc
95,27e752c42904450e443198df,Solevino,1ff33fd73e2add3c30fcd821850dccd3,0.3006629700200532,8.2,2.0,42.0,2.0,21,9,45.53830765459552,-73.6548838019371,Chabanel / du Parc
96,2a12178ac65d4877aff124f9,Resto Bar Beauharnois,1ff33fd73e2add3c30fcd821850dccd3,0.0584755257730487,8.2,2.0,132.0,4.0,21,9,45.53830765459552,-73.6548838019371,Chabanel / du Parc
97,4c6f343a0d68ef3b3fd946e7,Le Bar Salon Solid Gold Inc,1ff33fd73e2add3c30fcd821850dccd3,0.9777630292520356,8.2,2.0,189.0,4.0,21,9,45.53830765459552,-73.6548838019371,Chabanel / du Parc
98,RLTcfYJcZNS6vKwtpMxk8g,Sharky's,1ff33fd73e2add3c30fcd821850dccd3,0.3316543338939282,3.0,2.0,3.0,2.0,21,9,45.53830765459552,-73.6548838019371,Chabanel / du Parc
99,n1j9BZZ4MxK1H9Z-BHAkUQ,Roasters,1ff33fd73e2add3c30fcd821850dccd3,0.8457121688653043,6.0,2.0,28.0,2.0,21,9,45.53830765459552,-73.6548838019371,Chabanel / du Parc
