,bar_id,bar_name,popularity,rating,price,review_count,num_stations_pinged,empty_slots,free_bikes,total_slots,percent_used
215,511d7d4be4b0ae5fffd73e82,Rebel Brasserie Urbaine,0.89,8.1,3.0,31.0,6.0,34,1,35,97.0
216,4b6cdd27f964a520035a2ce3,Bar l'aigle Noir,0.98,7.9,2.0,179.0,5.0,34,1,35,97.0
217,4b4e66d8f964a5206bec26e3,Bar le Stud,0.99,7.5,2.0,39.0,6.0,34,1,35,97.0
218,5c79a3fc66fc65002c413d1b,Bistro Tendresse,0.96,7.8,3.0,106.0,4.0,34,1,35,97.0
219,4b186576f964a52017d223e3,Le National,0.94,7.6,2.0,171.0,3.0,34,1,35,97.0
220,4fa9c7f9e4b096d4709e4294,Bar Stock&Lounge,0.98,7.4,2.0,119.0,2.0,34,1,35,97.0
221,595efe0c112c6c7093f64ef6,District Video Lounge,0.98,7.3,3.0,152.0,5.0,34,1,35,97.0
222,UBu451W5-yxYQenrdkOKIQ,Le Stud,0.44,7.0,2.0,28.0,7.0,34,1,35,97.0
223,98xak1WOfnQVdVsulJLqPg,Bar Aigle Noir,0.42,6.0,3.0,18.0,7.0,34,1,35,97.0
224,Gg_e8CqCLGo-CmqgCOL5FQ,Macbar et Fromage,0.84,8.0,2.0,44.0,6.0,34,1,35,97.0
225,-iQdfdTpXa3Y-WC5OJGTfw,Saloon Bistro Bar,0.24,7.0,2.0,95.0,6.0,34,1,35,97.0
226,GmAk-gqWLn9KzskFt2cCIQ,Lounge l'Un et l'Autre,0.78,7.0,2.0,2.0,5.0,34,1,35,97.0
227,57dafea0498e5359faf5f11f,Tiradito,0.95,8.0,2.0,150.0,20.0,11,8,19,58.0
