,bar_name,station_id,popularity,fs_price,fs_rating,fs_total_counts,review_count,yelp_rating,yelp_price,yelp_total_counts
80,Bar le Mal Nécessaire,f332a5c6e3f7fc73096885d6efc0f829,0.9816666309847496,3.0,8.8,21.0,,,,
81,Sainte-Elisabeth,f332a5c6e3f7fc73096885d6efc0f829,0.972631969570461,2.0,8.0,4.0,,,,
82,Bar Zoe Karaoke et Cocktails,0243c740e1d4fe272e0c414cdd900c7d,0.9857700514533244,2.0,7.6,4.0,,,,
83,Bar Hélène,0243c740e1d4fe272e0c414cdd900c7d,0.4761680475568591,2.0,8.2,5.0,,,,
84,Beamers Bar,0243c740e1d4fe272e0c414cdd900c7d,0.0980610446238055,2.0,8.2,5.0,,,,
85,Café Bar Brewski's,0243c740e1d4fe272e0c414cdd900c7d,0.7973053016192454,2.0,8.2,3.0,,,,
86,Au Ptit Buck,0243c740e1d4fe272e0c414cdd900c7d,0.379976735390039,2.0,8.2,5.0,,,,
87,Bar Excel,0243c740e1d4fe272e0c414cdd900c7d,0.9512014101493644,3.0,8.2,5.0,,,,
88,Bar Zoe,0243c740e1d4fe272e0c414cdd900c7d,0.8996190724673447,2.0,8.2,4.0,,,,
89,Empire Cafe,278e51e3bb2d95cf556a62edff8f95ec,0.475111862810165,1.0,8.2,3.0,,,,
90,Chez Momo,278e51e3bb2d95cf556a62edff8f95ec,0.8996190724673447,2.0,8.2,1.0,,,,
91,Bar 1370,278e51e3bb2d95cf556a62edff8f95ec,0.8996190724673447,2.0,8.2,2.0,,,,
92,Limite08,700cf042fd8763ec6c702d94d5b6689b,0.7328923048377544,2.0,8.2,2.0,,,,
93,Taverne La-Paz,700cf042fd8763ec6c702d94d5b6689b,0.4427769095177946,2.0,8.2,2.0,,,,
94,Ruelle des papillons,700cf042fd8763ec6c702d94d5b6689b,0.1802507725135056,3.0,8.2,3.0,,,,
95,Le Grand Lionel,700cf042fd8763ec6c702d94d5b6689b,0.8996190724673447,2.0,8.2,3.0,,,,
96,Boswell Brasserie Artisanale,82cc3be4d76f16ca475536a6e07461c5,0.97502265801737,2.0,8.3,7.0,,,,
97,Bar Davidson,0f8246e77098962beaa5e48211a7cff8,0.9615777116472912,1.0,5.7,4.0,1.0,3.0,1.0,5.0
98,Bar St Vincent,0f8246e77098962beaa5e48211a7cff8,0.908326018540324,2.0,8.2,4.0,,,,
99,Blockhaus,0f8246e77098962beaa5e48211a7cff8,0.981623812684208,3.0,8.2,4.0,,,,
100,Brasserie des Patriotes,0f8246e77098962beaa5e48211a7cff8,0.9607427547867292,1.0,5.4,3.0,3.0,3.5,1.0,5.0
101,Ping Pong Club,c8aba35f90d2eeada8a20ea7915c943a,0.9569319260385222,2.0,8.1,5.0,36.0,4.0,2.0,7.0
102,Bishop & Bagg,c8aba35f90d2eeada8a20ea7915c943a,0.955968514276335,2.0,8.6,6.0,,,,
103,Isle de Garde,c8aba35f90d2eeada8a20ea7915c943a,0.97061237306158,3.0,9.1,4.0,,,,
104,Whisky Café,c8aba35f90d2eeada8a20ea7915c943a,0.8980139444932097,3.0,7.6,4.0,37.0,4.0,3.0,5.0
105,Nacho Libre,c8aba35f90d2eeada8a20ea7915c943a,0.9636686719904088,2.0,7.8,4.0,,,,
106,Bar Waverly,c8aba35f90d2eeada8a20ea7915c943a,0.9615634388804442,1.0,7.4,4.0,,,,
107,Bar Tapas Taza Flores,c8aba35f90d2eeada8a20ea7915c943a,0.9264310232860192,3.0,7.8,3.0,,,,
108,The Emerald,c8aba35f90d2eeada8a20ea7915c943a,0.9233052873464784,3.0,7.7,2.0,,,,
109,Bières Jukebox,0d4d6ab1ff41bf892ecbb0e09a8e2f40,0.8779036160054807,2.0,8.2,4.0,,,,
110,MaBrasserie,e335f2f5ad674c200bb9795ee863749c,0.965759632333526,2.0,9.0,5.0,,,,
111,La Distillerie No 3,e335f2f5ad674c200bb9795ee863749c,0.9546696924932384,2.0,8.2,4.0,,,,
112,Quai No.4,e335f2f5ad674c200bb9795ee863749c,0.9562682423801266,3.0,8.0,3.0,,,,
113,Verre Bouteille,e335f2f5ad674c200bb9795ee863749c,0.9658952236185746,1.0,6.9,4.0,,,,
114,Bar Lounge Lobby,e335f2f5ad674c200bb9795ee863749c,0.9181100002140916,3.0,6.4,2.0,,,,
