,bar_name,station_id,popularity,review_count,price,total_counts,rating,empty_slots,free_bikes,latitude,longitude,name
11,Arcade MTL,36c6491aa1b52e5ef7005f984738de27,0.5595101601739615,26.0,1.0,13.0,4.5,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
12,Yer'Mad,36c6491aa1b52e5ef7005f984738de27,0.8757018316140132,15.0,1.0,11.0,4.5,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
13,Le Normandie,36c6491aa1b52e5ef7005f984738de27,0.7334713303358475,8.0,1.0,14.0,4.5,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
14,Patrick's Pub,36c6491aa1b52e5ef7005f984738de27,0.9990345997302896,25.0,2.0,6.0,3.5,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
15,Bistro à Jojo,36c6491aa1b52e5ef7005f984738de27,0.36573198677174,23.0,2.0,11.0,4.0,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
16,Midway,36c6491aa1b52e5ef7005f984738de27,0.3316889799996118,35.0,2.0,25.0,4.0,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
17,Pub le Sainte-Élisabeth,36c6491aa1b52e5ef7005f984738de27,0.1067005035431638,123.0,2.0,16.0,4.0,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
18,Pub l'Île Noire,36c6491aa1b52e5ef7005f984738de27,0.7759253871621193,60.0,2.0,4.0,4.0,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
19,Bootlegger l'Authentique,36c6491aa1b52e5ef7005f984738de27,0.0366456884570407,46.0,2.0,15.0,4.5,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
20,Le Mal Nécessaire,36c6491aa1b52e5ef7005f984738de27,0.2489600359489981,163.0,2.0,29.0,4.0,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
21,Stereo,36c6491aa1b52e5ef7005f984738de27,0.9125503478889034,54.0,3.0,13.0,3.5,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
22,Ginkgo,36c6491aa1b52e5ef7005f984738de27,0.2142463559787247,75.0,2.0,10.0,4.0,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
23,Les Foufounes Electriques,36c6491aa1b52e5ef7005f984738de27,0.7502585949663418,78.0,1.0,18.0,3.5,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
24,Bistro au Vieux St-Hubert,36c6491aa1b52e5ef7005f984738de27,0.833671813370226,6.0,2.0,10.0,3.5,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
25,Le Blossom,36c6491aa1b52e5ef7005f984738de27,0.1874823031636964,31.0,2.0,8.0,3.0,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
26,Madame Smith,65f5707d61306518123222b4680bc282,0.9703982815588716,96.0,2.0,7.0,3.95,13,9,45.55321884238814,-73.53978216648102,Marché Maisonneuve
27,L'Espace Public-Brasseurs de Quartier,65f5707d61306518123222b4680bc282,0.9792117150870282,54.0,2.0,5.0,4.35,13,9,45.55321884238814,-73.53978216648102,Marché Maisonneuve
28,Le Trèfle - Taverne Irlandaise,65f5707d61306518123222b4680bc282,0.9747800209809672,72.0,2.0,7.0,3.8,13,9,45.55321884238814,-73.53978216648102,Marché Maisonneuve
29,Le Blind Pig,65f5707d61306518123222b4680bc282,0.9773419826300428,25.0,1.0,7.0,3.45,13,9,45.55321884238814,-73.53978216648102,Marché Maisonneuve
30,Brasserie de Lasalle Enr,65f5707d61306518123222b4680bc282,0.5996988446195237,24.0,2.0,5.0,4.1,13,9,45.55321884238814,-73.53978216648102,Marché Maisonneuve
