,fsq_id,distance,name,popularity,price,rating,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,location.address,location.country,location.cross_street,location.formatted_address,location.locality,location.postcode,location.region,geocodes.drop_off.latitude,geocodes.drop_off.longitude,station_id,location.address_extended,geocodes.front_door.latitude,geocodes.front_door.longitude
26,4cd1f545de0f6dcbe6617463,954.0,A Bar,0.9262882956175468,2.0,7.7,45.519849,-73.579684,45.519849,-73.579684,213 Rachel Rue E,CA,entre Laval & Hôtel-de-ville,"213 Rachel Rue E (entre Laval & Hôtel-de-ville), Montréal QC H2W 1E4",Montréal,H2W 1E4,QC,45.519992,-73.579839,0e58810dea9e4869279089cb8576642f,,,
27,4ae294f6f964a5201e8f21e3,637.0,Cafe-Bar le Boudoir,0.9252606564045474,1.0,7.4,45.526135,-73.58071,45.526135,-73.58071,850 Ave du Mont-Royal Est,CA,coin St-André,"850 Ave du Mont-Royal Est (coin St-André), Montréal QC H2J 1X1",Montréal,H2J 1X1,QC,,,0e58810dea9e4869279089cb8576642f,,,
28,5560d3e3498eb97d20dc071a,758.0,Le Terminal,0.9725748785030722,2.0,7.5,45.53383,-73.573931,45.53383,-73.573931,1875 Ave du Mont-Royal Est,CA,coin Cartier,"1875 Ave du Mont-Royal Est (coin Cartier), Montréal QC H2H 1J3",Montréal,H2H 1J3,QC,45.533721,-73.573813,0e58810dea9e4869279089cb8576642f,,,
29,4ae3b893f964a520749821e3,479.0,Aux Verres Stérilisés Inc,0.9487893125521848,2.0,6.8,45.523554,-73.576315,45.523554,-73.576315,800 Rachel Rue E,CA,coin St-Hubert,"800 Rachel Rue E (coin St-Hubert), Montréal QC H2J 2H6",Montréal,H2J 2H6,QC,45.523677,-73.576446,0e58810dea9e4869279089cb8576642f,,,
30,51057014e4b05ec8610cb068,810.0,132 Bar Vintage,0.935308684264988,3.0,8.3,45.546528,-73.665909,45.546528,-73.665909,132 Fleury Rue O,CA,,"132 Fleury Rue O, Montréal QC H3L 1T4",Montréal,H3L 1T4,QC,45.546599,-73.666025,eeda0f4010f34ca2199f3585a76fef66,,,
31,50a66e27e4b052420c9534a3,907.0,Les Cavistes,0.9494744053608511,2.0,7.9,45.54578,-73.66632,45.54578,-73.66632,196 Fleury Rue O,CA,coin L'Esplanade,"196 Fleury Rue O (coin L'Esplanade), Montréal QC H3L 1T5",Montréal,H3L 1T5,QC,45.545873,-73.666472,eeda0f4010f34ca2199f3585a76fef66,,,
32,4bd384809854d13a220afe4d,553.0,Uber Cafbar,0.954748192710898,2.0,7.5,45.557974,-73.659463,45.557974,-73.659463,1011 Fleury Rue E,CA,entre St-Charles & George Baril,"1011 Fleury Rue E (entre St-Charles & George Baril), Montréal QC H2C 1P8",Montréal,H2C 1P8,QC,45.557882,-73.659304,eeda0f4010f34ca2199f3585a76fef66,,,
33,a235d106f4c5408473d1dca0,155.0,In Vino Veritas,0.3041669342810451,,,45.552136,-73.661398,45.552136,-73.661398,10186 Berri Rue,CA,,"10186 Berri Rue, Montréal QC H3L 2G6",Montréal,H3L 2G6,QC,45.55237,-73.661331,eeda0f4010f34ca2199f3585a76fef66,,,
34,4d0c25fa801054816a001796,479.0,Bienvenu Bar Salon,0.937228371405939,2.0,,45.557235,-73.659486,45.557235,-73.659486,920 Fleury Rue E,CA,,"920 Fleury Rue E, Montréal QC H2C 1P5",Montréal,H2C 1P5,QC,45.55732,-73.659632,eeda0f4010f34ca2199f3585a76fef66,,,
35,4dcf65d3183899ddfaec7935,506.0,Bar Lajeunesse,0.5046993084844462,2.0,,45.555857,-73.668216,45.555857,-73.668216,589 Henri-Bourassa Blvd E,CA,,"589 Henri-Bourassa Blvd E, Montréal QC H2C 1E2",Montréal,H2C 1E2,QC,,,eeda0f4010f34ca2199f3585a76fef66,,,
36,4d0c5208d515236a09cd064b,786.0,Bar Ahuntsic,0.9933060723486552,2.0,,45.550335,-73.671324,45.550335,-73.671324,10710 Saint-Laurent Blvd,CA,Henri-Bourassa,"10710 Saint-Laurent Blvd (Henri-Bourassa), Montréal QC H3L 2P7",Montréal,H3L 2P7,QC,,,eeda0f4010f34ca2199f3585a76fef66,,,
37,4b7eb7b0f964a520eafa2fe3,843.0,Le Rendez Vous du Thé,0.9319260385221976,2.0,,45.560229,-73.657648,45.560229,-73.657648,1348 Fleury Rue E,CA,Avenue du Sacré-Coeur,"1348 Fleury Rue E (Avenue du Sacré-Coeur), Montréal QC H2C 1R3",Montréal,H2C 1R3,QC,45.560345,-73.657843,eeda0f4010f34ca2199f3585a76fef66,,,
38,5a0e4f8c8194fc76a7737397,992.0,Le Pourvoyeur,0.9605215269005972,3.0,,45.561437,-73.656962,45.561437,-73.656962,1432 Fleury Rue E,CA,,"1432 Fleury Rue E, Montréal QC H2C 1R8",Montréal,H2C 1R8,QC,45.561539,-73.657132,eeda0f4010f34ca2199f3585a76fef66,,,
39,ae4819eb18ca4e495deeb86a,593.0,Lanny Izakaya,,,,45.558319,-73.65928,45.558319,-73.65928,1031 Fleury Rue E,CA,,"1031 Fleury Rue E, Montreal QC",Montreal,,QC,45.558218,-73.659107,eeda0f4010f34ca2199f3585a76fef66,,,
40,5606f3e59a184b4d75b78b9a,564.0,Resto-Bar Lucky 7,0.6085265509145276,,,45.563378,-73.610229,45.563378,-73.610229,3207 Jarry Rue E,CA,,"3207 Jarry Rue E, Montréal QC H1Z 2E3",Montréal,H1Z 2E3,QC,,,8140fc3c3486abf913b0bd9211926f2b,,,
41,48d57f4a1808476d9b42c59d,819.0,Brasserie Place 37,0.8063542358003811,,,45.567168,-73.61661,45.567168,-73.61661,8489 Saint-Michel Blvd,CA,,"8489 Saint-Michel Blvd, Montréal QC H1Z 3E7",Montréal,H1Z 3E7,QC,,,8140fc3c3486abf913b0bd9211926f2b,,,
42,2069e40c3f484191f0149871,947.0,Perandello Sport Bar,0.3135084601825487,,,45.568296,-73.617036,45.568296,-73.617036,3280 Robert Blvd,CA,,"3280 Robert Blvd, Montréal QC H1Z 1Y4",Montréal,H1Z 1Y4,QC,,,8140fc3c3486abf913b0bd9211926f2b,,,
43,34c15ba7ec3c4fa2619b1274,791.0,Brasserie Chez le Pere Gedeon,,,,45.561823,-73.605669,45.561823,-73.605669,7682 Saint-Michel Blvd,CA,,"7682 Saint-Michel Blvd, Montreal QC H2A 3A5",Montreal,H2A 3A5,QC,45.561953,-73.605611,8140fc3c3486abf913b0bd9211926f2b,,,
44,4af8a196f964a520d30e22e3,1011.0,Chez Baptiste Sur Masson,0.9611780741755692,2.0,7.0,45.548826,-73.574217,45.548826,-73.574217,3014 Masson Rue,CA,coin 7e avenue,"3014 Masson Rue (coin 7e avenue), Montréal QC H1Y 1X6",Montréal,H1Y 1X6,QC,45.54892,-73.574371,e287c24d95d9f0e3767d167d83ecebcd,,,
