,bar_name,station_id,popularity,review_count,price,total_counts,rating
31,Les Cavistes,eeda0f4010f34ca2199f3585a76fef66,0.9494744053608511,13.0,2.0,3.0,3.95
32,Uber Cafbar,eeda0f4010f34ca2199f3585a76fef66,0.954748192710898,88.0,2.0,4.0,3.75
33,In Vino Veritas,eeda0f4010f34ca2199f3585a76fef66,0.3041669342810451,21.0,2.0,3.0,4.1
34,Bienvenu Bar Salon,eeda0f4010f34ca2199f3585a76fef66,0.937228371405939,14.0,2.0,4.0,4.1
35,Bar Lajeunesse,eeda0f4010f34ca2199f3585a76fef66,0.5046993084844462,80.0,2.0,2.0,4.1
36,Bar Ahuntsic,eeda0f4010f34ca2199f3585a76fef66,0.9933060723486552,61.0,2.0,3.0,4.1
37,Le Rendez Vous du Thé,eeda0f4010f34ca2199f3585a76fef66,0.9319260385221976,98.0,2.0,3.0,4.1
38,Le Pourvoyeur,eeda0f4010f34ca2199f3585a76fef66,0.9605215269005972,94.0,3.0,7.0,4.1
39,Lanny Izakaya,eeda0f4010f34ca2199f3585a76fef66,0.8996190724673447,42.0,2.0,4.0,4.1
40,Resto-Bar Lucky 7,8140fc3c3486abf913b0bd9211926f2b,0.6085265509145276,39.0,2.0,6.0,4.1
41,Brasserie Place 37,8140fc3c3486abf913b0bd9211926f2b,0.8063542358003811,97.0,2.0,2.0,4.1
42,Perandello Sport Bar,8140fc3c3486abf913b0bd9211926f2b,0.3135084601825487,19.0,2.0,2.0,4.1
43,Brasserie Chez le Pere Gedeon,8140fc3c3486abf913b0bd9211926f2b,0.8996190724673447,73.0,2.0,6.0,4.1
44,Chez Baptiste Sur Masson,e287c24d95d9f0e3767d167d83ecebcd,0.9611780741755692,79.0,2.0,3.0,3.5
45,Morelli,e287c24d95d9f0e3767d167d83ecebcd,0.1116772641960507,3.0,2.0,7.0,4.1
46,Taverne Morelli,e287c24d95d9f0e3767d167d83ecebcd,0.8996190724673447,5.0,2.0,4.0,4.1
47,Cherry Bar Inc,bfc27d829d7ce8c0f9e55b1cab901cbb,0.9025526843506247,64.0,2.0,4.0,4.1
