,bar_name,popularity,review_count,price,num_stations_pinged,rating,empty_slots,free_bikes,total_slots,percent_used
29,Le Blind Pig,0.98,25.0,1.0,7.0,3.45,13,9,22,59.0
30,Brasserie de Lasalle Enr,0.6,24.0,2.0,5.0,4.1,13,9,22,59.0
31,La Nef,0.78,72.0,2.0,7.0,4.1,13,9,22,59.0
32,Bar le Bureau,0.91,26.0,2.0,3.0,4.1,13,9,22,59.0
33,Bar l'Assemblée,0.93,48.0,2.0,4.0,4.1,13,9,22,59.0
34,Taverne l'Escale,0.94,96.0,2.0,4.0,4.1,13,9,22,59.0
35,Loupblond,0.03,34.0,2.0,4.0,4.1,13,9,22,59.0
36,Le Trèfle,0.14,35.0,2.0,8.0,4.0,13,9,22,59.0
37,El Jumelgi,0.45,1.0,1.0,5.0,4.0,13,9,22,59.0
38,Rouge Gorge,0.95,18.0,2.0,11.0,4.1,12,17,29,41.0
39,Pub West Shefford,0.96,83.0,2.0,8.0,4.05,12,17,29,41.0
40,Bily Kun,0.96,68.0,2.0,13.0,4.15,12,17,29,41.0
41,La Distillerie No2,0.97,58.0,2.0,7.0,4.15,12,17,29,41.0
42,Fitzroy,0.98,46.0,2.0,8.0,3.8,12,17,29,41.0
43,Bar Plan B,0.96,35.0,2.0,7.0,3.85,12,17,29,41.0
44,A Bar,0.93,93.0,2.0,2.0,3.85,12,17,29,41.0
45,Cafe-Bar le Boudoir,0.93,39.0,1.0,4.0,3.7,12,17,29,41.0
46,Le Terminal,0.97,33.0,2.0,6.0,3.75,12,17,29,41.0
47,Aux Verres Stérilisés Inc,0.95,73.0,2.0,1.0,3.4,12,17,29,41.0
48,Candi Bar,0.78,60.0,2.0,11.0,3.5,12,17,29,41.0
49,Le Rouge Gorge,0.6,33.0,2.0,10.0,4.5,12,17,29,41.0
50,L’Entrepôt - Mont-Royal,0.39,138.0,1.0,10.0,4.0,12,17,29,41.0
51,L'Escogriffe Bar Spectacle,0.51,18.0,1.0,16.0,4.5,12,17,29,41.0
52,L'Barouf,0.81,32.0,2.0,11.0,3.5,12,17,29,41.0
53,Ichigo Ichie,0.69,117.0,2.0,12.0,4.5,12,17,29,41.0
54,Bar la Shop,0.17,8.0,1.0,7.0,4.0,12,17,29,41.0
55,Big In Japan,0.23,258.0,2.0,12.0,3.5,12,17,29,41.0
56,Le A Bar,0.93,15.0,2.0,12.0,4.5,12,17,29,41.0
57,Barraca,0.79,63.0,2.0,7.0,3.5,12,17,29,41.0
58,West Shefford,0.6,7.0,1.0,7.0,3.5,12,17,29,41.0
59,La Distillerie No.2,0.94,71.0,2.0,8.0,4.5,12,17,29,41.0
60,Chez Baptiste,0.56,19.0,1.0,11.0,3.5,12,17,29,41.0
61,La Rockette,0.05,16.0,1.0,6.0,3.0,12,17,29,41.0
62,Plein Sud,0.83,58.0,2.0,8.0,4.5,12,17,29,41.0
63,132 Bar Vintage,0.94,53.0,3.0,3.0,4.15,9,6,15,60.0
64,Les Cavistes,0.95,13.0,2.0,3.0,3.95,9,6,15,60.0
65,Uber Cafbar,0.95,88.0,2.0,4.0,3.75,9,6,15,60.0
66,In Vino Veritas,0.3,21.0,2.0,3.0,4.1,9,6,15,60.0
67,Bienvenu Bar Salon,0.94,14.0,2.0,4.0,4.1,9,6,15,60.0
68,Bar Lajeunesse,0.5,80.0,2.0,2.0,4.1,9,6,15,60.0
69,Bar Ahuntsic,0.99,61.0,2.0,3.0,4.1,9,6,15,60.0
70,Le Rendez Vous du Thé,0.93,98.0,2.0,3.0,4.1,9,6,15,60.0
71,Le Pourvoyeur,0.96,94.0,3.0,7.0,4.1,9,6,15,60.0
72,Lanny Izakaya,0.9,42.0,2.0,4.0,4.1,9,6,15,60.0
73,Bar Vintage 132,0.31,8.0,2.0,5.0,4.5,9,6,15,60.0
74,Über Cafbar,0.3,6.0,2.0,4.0,4.5,9,6,15,60.0
