,bar_name,popularity,review_count,price,num_stations_pinged,rating,empty_slots,free_bikes,total_slots,percent_used
334,Bar,0.94,69.0,2.0,3.0,4.1,25,8,33,76.0
335,Cyr,0.04,6.0,2.0,3.0,4.1,25,8,33,76.0
336,Stem Bar,0.92,73.0,2.0,2.0,4.1,25,8,33,76.0
337,Le Tequila Bar,0.41,44.0,2.0,8.0,3.5,25,8,33,76.0
338,Else's,0.95,122.0,2.0,8.0,4.15,3,16,19,16.0
339,Tattoo Box Montreal,0.89,43.0,2.0,3.0,4.0,3,16,19,16.0
340,North Star Machines à Piastres,0.99,10.0,2.0,2.0,3.8,9,5,14,64.0
341,Taverne Atlantic,0.99,76.0,2.0,1.0,4.1,3,10,13,23.0
342,Boucherie Bar à vin Provisions,0.97,62.0,2.0,1.0,4.1,3,10,13,23.0
343,TAS Café Bistro Lounge,0.95,72.0,1.0,1.0,4.1,3,10,13,23.0
344,Wills,0.98,99.0,2.0,2.0,4.1,3,10,13,23.0
345,Taverne Portara,0.9,15.0,2.0,2.0,4.1,3,10,13,23.0
346,Le Off Miss Villeray,0.77,32.0,3.0,3.0,4.1,2,13,15,13.0
347,Raphaël Bistrot Bar à Vins,0.9,2.0,2.0,2.0,4.1,2,13,15,13.0
348,Autos Lajeunesse,0.03,98.0,2.0,4.0,4.1,2,13,15,13.0
349,Le Petit 26,0.57,58.0,2.0,4.0,4.1,2,13,15,13.0
350,Chez Josie,0.97,54.0,3.0,2.0,4.1,2,13,15,13.0
351,Etna,0.89,98.0,2.0,2.0,4.1,2,13,15,13.0
352,Bar le Record,0.97,83.0,2.0,3.0,4.1,15,0,15,100.0
353,Bistro Bar Bizzwack,0.14,79.0,2.0,3.0,4.1,15,0,15,100.0
354,Bar Cafe EVA,0.38,40.0,2.0,1.0,4.1,8,11,19,42.0
355,SuWu,0.92,16.0,2.0,3.0,4.0,8,19,27,30.0
356,Les Deux Gamins,0.69,598.0,2.0,4.0,4.0,8,19,27,30.0
357,El Furniture Warehouse,0.59,22.0,1.0,4.0,4.0,8,19,27,30.0
358,Abreuvoir Bar & Terrasse,0.12,25.0,2.0,1.0,4.0,8,19,27,30.0
359,Mme Lee,0.61,31.0,2.0,4.0,3.0,8,19,27,30.0
360,Bar Chez Pierre,0.62,32.0,2.0,2.0,4.1,26,5,31,84.0
361,Porto Lounge,0.67,3.0,3.0,2.0,4.1,26,5,31,84.0
362,Bar De Courcelle,0.98,27.0,1.0,6.0,4.0,26,5,31,84.0
363,Bar Pamplemousse,0.98,45.0,2.0,4.0,4.0,20,4,24,83.0
364,Foufounes Electriques,0.99,90.0,1.0,3.0,3.95,20,4,24,83.0
365,MVP Bar Sportif,0.99,52.0,2.0,2.0,3.0,20,4,24,83.0
366,Bar Taboo,0.98,69.0,2.0,3.0,2.9,9,10,19,47.0
367,Bar le Jockey,0.96,64.0,2.0,3.0,3.95,15,8,23,65.0
368,Bar Tennesse,0.9,67.0,1.0,2.0,4.1,15,8,23,65.0
369,Bar Coucou,0.1,81.0,2.0,1.0,4.1,15,8,23,65.0
370,Bar la Plaza,0.87,5.0,1.0,2.0,4.1,15,8,23,65.0
371,Bar 1650,0.93,7.0,2.0,1.0,4.1,15,8,23,65.0
372,Le Système,0.96,20.0,2.0,2.0,4.1,15,8,23,65.0
373,Helm Brasseur Gourmand,0.96,87.0,2.0,1.0,3.7,0,19,19,0.0
374,Billard Eljumelgi,0.37,47.0,2.0,2.0,4.1,20,1,21,95.0
375,Nhâu Bar,0.97,48.0,2.0,9.0,4.0,12,3,15,80.0
376,Boho,0.78,41.0,3.0,2.0,4.15,12,3,15,80.0
377,Méchant Bœuf Bar & Brasserie,0.95,19.0,2.0,7.0,4.1,12,3,15,80.0
378,Philemon Bar,0.96,76.0,2.0,5.0,4.0,12,3,15,80.0
379,Bistro-Brasserie les Soeurs Grises,0.97,75.0,2.0,2.0,3.65,12,3,15,80.0
380,Holder,0.61,377.0,3.0,7.0,4.0,12,3,15,80.0
381,La Catrina,0.22,47.0,2.0,10.0,4.0,12,3,15,80.0
382,The Farsides,0.72,39.0,2.0,7.0,3.0,12,3,15,80.0
383,Somwhr Liquor Lounge,0.23,7.0,2.0,6.0,2.5,12,3,15,80.0
384,Le Saint-Sulpice,0.36,76.0,2.0,6.0,3.5,12,3,15,80.0
385,Bord'Elle Boutique Bar and Eatery,0.55,65.0,4.0,1.0,3.5,12,3,15,80.0
386,Randolph Pub Ludique,0.95,16.0,1.0,3.0,3.8,6,12,18,33.0
387,Broue Pub Brouhaha,0.98,6.0,2.0,5.0,4.2,6,12,18,33.0
388,Pub Rosemont,0.97,95.0,3.0,4.0,3.9,6,12,18,33.0
389,Bar Taverne les Torchés,0.2,18.0,2.0,2.0,4.1,6,12,18,33.0
390,Le Lexor Lounge,0.54,54.0,2.0,2.0,4.1,6,12,18,33.0
391,Bar Rolex,0.64,32.0,2.0,2.0,4.1,6,12,18,33.0
392,Pub Papineau,0.51,68.0,2.0,1.0,4.1,6,12,18,33.0
393,Dice Club,0.72,48.0,2.0,1.0,4.1,6,12,18,33.0
394,Vinvinvin,0.97,81.0,2.0,4.0,4.1,15,4,19,79.0
395,Nestor,0.97,96.0,2.0,3.0,3.75,15,4,19,79.0
396,Arabica Lounge,0.97,78.0,1.0,2.0,3.75,4,15,19,21.0
397,Andrews Bar,0.52,11.0,1.0,10.0,3.5,4,15,19,21.0
398,Jono Bar,0.95,27.0,2.0,2.0,4.1,19,0,19,100.0
399,Le Diplomate,0.92,18.0,3.0,1.0,3.3,7,8,15,47.0
400,Bar Chez P.P,0.88,43.0,2.0,1.0,4.1,14,11,25,56.0
401,Le Bar Loic,0.97,4.0,3.0,3.0,4.3,17,9,26,65.0
402,L'Annexe St-Ambroise (L’Annexe St-Ambroise),0.94,78.0,1.0,3.0,4.3,17,9,26,65.0
403,Terrasse St-Ambroise,0.98,66.0,2.0,3.0,4.2,17,9,26,65.0
404,Cordova,0.94,82.0,1.0,4.0,4.25,17,9,26,65.0
405,Bar de Courcelles,0.95,9.0,1.0,4.0,4.05,17,9,26,65.0
406,Messorem Bracitorium,0.99,14.0,2.0,2.0,4.1,17,9,26,65.0
407,Le Téquila Bar,0.97,90.0,1.0,4.0,3.05,17,9,26,65.0
408,Bar Bistro Notre Dame,0.97,97.0,2.0,3.0,4.1,17,9,26,65.0
409,BarBara,0.97,8.0,2.0,3.0,4.1,17,9,26,65.0
410,Riverside,0.95,25.0,1.0,3.0,4.0,17,9,26,65.0
411,Loïc,0.36,24.0,3.0,3.0,3.0,17,9,26,65.0
412,Cafe Del Monko,0.63,1.0,1.0,3.0,5.0,17,9,26,65.0
413,Elena,0.42,57.0,3.0,3.0,4.0,17,9,26,65.0
414,Le Saint Édouard,0.94,96.0,2.0,4.0,3.7,8,27,35,23.0
415,Taverne St-Sacrement,0.97,61.0,2.0,1.0,3.45,8,27,35,23.0
416,Taverne Bar la Remise Inc,0.96,83.0,2.0,1.0,3.15,8,27,35,23.0
417,Brasserie Chez Baptiste,0.98,36.0,2.0,1.0,3.35,8,27,35,23.0
418,The Whiskey Man,0.38,48.0,2.0,1.0,4.1,8,27,35,23.0
419,Les Garnements Rosemont,0.1,62.0,2.0,2.0,4.1,8,27,35,23.0
420,Bar la Marche a Côté,0.93,59.0,2.0,1.0,4.1,8,27,35,23.0
421,Espace Urbain Montreal,0.17,36.0,2.0,1.0,4.1,8,27,35,23.0
422,La Succursale,0.98,39.0,2.0,3.0,4.05,16,3,19,84.0
423,Broue Bar Gaspé,0.11,38.0,2.0,1.0,4.1,16,3,19,84.0
424,Bar Sel et Poivre,0.98,16.0,2.0,1.0,2.95,16,3,19,84.0
425,Bar la Broue du Plateau Enr,0.73,18.0,2.0,1.0,4.1,11,16,27,41.0
426,Igloo's - the One & Only,0.02,14.0,3.0,1.0,4.1,11,16,27,41.0
427,Bistro Jono Bar 2201 Mont Royal e,0.9,46.0,2.0,1.0,4.1,11,16,27,41.0
428,La Distillerie,0.96,9.0,3.0,1.0,4.3,18,5,23,78.0
429,N sur Mackay,0.95,60.0,3.0,2.0,3.75,8,15,23,35.0
430,Kinka Izakaya Montreal,0.94,45.0,2.0,2.0,3.45,8,15,23,35.0
431,Station des Sports,0.98,4.0,2.0,2.0,3.15,8,15,23,35.0
432,Forum Sports Bar,0.56,85.0,1.0,2.0,3.0,8,15,23,35.0
433,La Boîte à Karaoke,0.89,72.0,2.0,1.0,3.0,8,15,23,35.0
434,Forum de Montréal,0.99,10.0,2.0,2.0,2.8,8,15,23,35.0
435,G a Delicatessen,0.45,87.0,2.0,1.0,4.1,8,15,23,35.0
436,Hurley's Irish Pub,0.98,41.0,2.0,5.0,3.85,14,5,19,74.0
437,Shehrazad,0.21,5.0,2.0,6.0,4.0,14,5,19,74.0
438,Crobar,0.84,5.0,1.0,1.0,3.0,14,5,19,74.0
439,Brutopia,0.99,96.0,1.0,5.0,3.85,14,9,23,61.0
440,La Cage Aux Sports,0.99,73.0,1.0,2.0,3.1,19,4,23,83.0
441,Galt,0.73,1.0,3.0,1.0,3.0,19,4,23,83.0
442,Nuvoo,0.69,2.0,1.0,2.0,1.0,19,4,23,83.0
443,Broken Coconut,0.14,90.0,3.0,1.0,4.1,5,10,15,33.0
444,Thomson House,0.97,30.0,2.0,1.0,4.0,3,42,45,7.0
445,Purple Haze,0.89,42.0,3.0,1.0,4.1,22,5,27,81.0
446,Riverside St-Henri,0.9,88.0,2.0,1.0,4.1,22,5,27,81.0
447,Toucan,0.9,68.0,2.0,1.0,4.1,12,9,21,57.0
448,Domaine Papineau,0.2,72.0,3.0,1.0,4.1,16,11,27,59.0
449,Complexe Sky,0.98,93.0,2.0,1.0,3.55,13,4,17,76.0
450,Sky Pub Terrasse,0.9,11.0,2.0,1.0,3.5,13,4,17,76.0
451,Bar le Cocktail,0.97,56.0,2.0,1.0,3.3,13,4,17,76.0
452,Broue Pub Brouhaha Papineau,1.0,36.0,2.0,1.0,3.45,3,12,15,20.0
453,Bar le Grand Chapeau,1.0,92.0,2.0,1.0,4.1,4,6,10,40.0
454,Cafe Baraki,0.14,43.0,2.0,1.0,4.1,4,6,10,40.0
455,Bar Café Loutraki,0.94,16.0,2.0,1.0,4.1,4,6,10,40.0
456,Brasserie Quebecoise,0.17,43.0,2.0,1.0,4.1,13,2,15,87.0
457,Yer'Mad Bistro Bar,0.98,49.0,2.0,1.0,3.75,20,3,23,87.0
458,McLean's Pub,0.99,93.0,1.0,1.0,3.85,12,3,15,80.0
459,Bar U-Turn,0.94,69.0,2.0,2.0,4.1,19,5,24,79.0
460,Bar Monaco,0.12,76.0,2.0,2.0,4.1,19,5,24,79.0
461,Billy Buck,0.07,86.0,1.0,2.0,4.1,19,5,24,79.0
462,Cafe Sport Alex,0.55,41.0,2.0,2.0,4.1,19,5,24,79.0
463,Aquarium Café Bar,0.94,93.0,2.0,1.0,4.1,19,5,24,79.0
464,Clandestino,0.95,56.0,3.0,1.0,3.9,37,6,43,86.0
465,BEVO Bar + Pizzeria,0.96,45.0,2.0,1.0,3.8,61,20,81,75.0
466,Le 409,0.96,43.0,2.0,1.0,3.55,19,0,19,100.0
467,Pub Saint Pierre,0.96,11.0,1.0,1.0,3.6,19,0,19,100.0
468,Bar le Confessionnal,0.89,11.0,2.0,1.0,3.3,19,0,19,100.0
469,Vargas,0.07,95.0,3.0,1.0,3.5,19,0,19,100.0
470,King Crab,0.91,7.0,3.0,1.0,4.1,4,11,15,27.0
471,Ti-Agrikol,0.29,99.0,3.0,1.0,3.6,21,1,22,95.0
472,Le MTL Bar,0.95,13.0,2.0,1.0,3.05,21,1,22,95.0
473,Les Enfants du Rock MTL,0.96,95.0,2.0,1.0,4.1,21,1,22,95.0
474,L'Gros Luxe Plateau,0.66,42.0,2.0,1.0,3.5,21,1,22,95.0
475,Cafe Lounge,0.63,2.0,1.0,2.0,2.0,18,5,23,78.0
476,La Marche à Côté,0.84,2.0,2.0,3.0,3.0,19,3,22,86.0
477,Taverne Saint-Sacrement,0.62,27.0,2.0,2.0,3.5,25,1,26,96.0
478,Beaumonde Par Mademoiselle,0.41,5.0,2.0,2.0,3.0,14,4,18,78.0
479,Joverse,0.9,55.0,2.0,2.0,3.5,27,7,34,79.0
480,Furco,0.87,64.0,2.0,4.0,3.5,32,5,37,86.0
481,Ace Bar,0.63,6.0,2.0,3.0,2.5,32,5,37,86.0
482,La P'tite Grenouille Montréal,0.3,25.0,2.0,3.0,3.0,6,9,15,40.0
483,St-Laurent Bifteck,0.06,51.0,1.0,2.0,4.0,41,5,46,89.0
484,Pincette,0.19,38.0,3.0,5.0,4.5,15,0,15,100.0
485,John Michael's Pub,0.79,48.0,2.0,4.0,3.0,15,0,15,100.0
486,Pub St-Paul,0.65,51.0,2.0,3.0,2.5,15,0,15,100.0
